City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
237,Coahuayana,MX,71.64,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
238,Malanje,AO,63.0,overcast clouds,-9.5402,16.341,Hotel Ginga
239,Abu Dhabi,AE,81.97,clear sky,24.4667,54.3667,Beach Rotana
240,Daru,PG,77.56,moderate rain,-9.0763,143.2092,Daru Lodge
241,Gizo,SB,83.89,light rain,-8.103,156.8419,Imagination Island
244,Anstruther,GB,51.69,mist,56.2231,-2.7023,The Bank
245,Winnemucca,US,57.25,overcast clouds,40.973,-117.7357,Winners Inn Casino
246,Corod,RO,54.3,overcast clouds,45.9,27.6167,
247,Le Port,RE,76.24,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
248,Sarkand,KZ,61.68,clear sky,45.41,79.9186,Гостиница Сарканд
249,Malinyi,TZ,69.26,light rain,-8.9333,36.1333,
250,Nisia Floresta,BR,81.41,light rain,-6.0911,-35.2086,Rancho Crepusculo
251,Bafq,IR,69.24,broken clouds,31.6128,55.4107,Alamdar Hotel
252,Acarau,BR,78.4,broken clouds,-2.8856,-40.12,castelo pizzaria
253,Wangqing,CN,58.08,clear sky,43.3218,129.7634,Jianan Fashion Hotel
254,Namatanai,PG,85.19,light rain,-3.6667,152.4333,Seagulls Inn Namatani
255,Sayyan,YE,56.97,clear sky,15.1718,44.3244,ملاطف ابوحورية
258,Klyuchi,RU,50.59,clear sky,52.2667,79.1667,Vesolaya Mayovka
259,Bubaque,GW,74.5,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
260,Tsogni,GA,76.1,overcast clouds,-2.7942,10.0988,
261,Amboasary,MG,72.99,broken clouds,-25.0333,46.3833,Le Bon Samaritain
262,Amarante Do Maranhao,BR,73.36,broken clouds,-5.5667,-46.7422,Hotéis Caçulinha
263,Umm Kaddadah,SD,77.38,overcast clouds,13.6017,26.6876,
265,Cidreira,BR,64.24,overcast clouds,-30.1811,-50.2056,Hotel Castelo
266,San Rafael,AR,63.23,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
267,Westport,US,58.33,clear sky,41.1415,-73.3579,The Inn at Longshore
268,Saint-Pierre,RE,75.9,few clouds,-21.3393,55.4781,Lindsey Hôtel
269,Kalabo,ZM,67.71,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
270,Ontario,US,73.44,few clouds,34.0633,-117.6509,Capri Motel
271,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
272,Bonthe,SL,77.0,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
273,Konibodom,TJ,71.08,clear sky,40.2843,70.4426,"Hotel ""Orom"""
277,Kangaba,ML,88.14,overcast clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
279,Sabang,ID,83.01,overcast clouds,5.8933,95.3214,Hotel Citra
280,Ramban,IN,56.61,clear sky,33.25,75.25,Naaz Hotel
282,Necochea,AR,54.82,clear sky,-38.5473,-58.7368,dyd -mar Hotel
283,Shipunovo,RU,50.2,clear sky,52.1582,82.2173,
284,Saint-Joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
285,Celina,US,54.88,overcast clouds,40.5489,-84.5702,Americas Best Value Inn Celina
286,Kirakira,SB,84.54,broken clouds,-10.4544,161.9205,SanBiz Lodge
288,Port Lincoln,AU,73.09,clear sky,-34.7333,135.8667,Port Lincoln Hotel
290,Ancud,CL,54.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
292,Kruisfontein,ZA,52.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
294,Ca Mau,VN,86.97,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
295,Buenos Aires,AR,64.13,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
297,Dembi Dolo,ET,59.58,overcast clouds,8.5333,34.8,Dembi dollo plaza
298,Bestobe,KZ,57.99,broken clouds,52.4994,73.0975,
299,Rio Grande,BR,64.71,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
301,Cabo San Lucas,MX,82.71,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
306,Miraflores,MX,74.05,broken clouds,19.2167,-98.8083,Hotel Mansión
307,Mbini,GQ,75.04,overcast clouds,1.574,9.6134,
308,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
309,Northam,GB,52.61,broken clouds,51.0333,-4.2167,Durrant House Hotel
310,Pacific Grove,US,63.55,clear sky,36.6177,-121.9166,Lovers Point Inn
311,Isangel,VU,84.24,few clouds,-19.55,169.2667,Tanna Lodge
315,Cienfuegos,CU,77.14,light rain,22.1461,-80.4356,Casa Claumar B2BPay
316,Kohlu,PK,69.12,clear sky,29.8962,69.252,B &R Rest House
318,Victoria,HK,75.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
319,Westonaria,ZA,57.97,overcast clouds,-26.3191,27.6486,Nolikha Bed & Breakfast Conference Area
321,Yima,CN,55.31,overcast clouds,34.7381,111.8839,Yima Hotel
322,Ishigaki,JP,69.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
323,Kaeo,NZ,71.33,light rain,-35.1,173.7833,Bushido Lodge
326,Uruzgan,AF,62.53,clear sky,32.8333,66.0,
329,Hasaki,JP,52.2,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
333,Tarnos,FR,54.9,overcast clouds,43.5417,-1.4628,"The Originals City, Hôtel Le Lodge, Bayonne Nord (Inter-Hotel)"
